Source,Sentence
In domain dev,Не трещат морозы.
In domain dev,Глеб и Денис ходили на берег реки.
In domain dev,Птицы летят к жилью человека.
In domain dev,Хороша наша горка.
In domain dev,В парках много ребят.
In domain dev,Дни стали холоднее.
In domain dev,На снегу следы птиц и маленьких зверьков.
In domain dev,Река набухла.
In domain dev,Малыши играют в песке.
In domain dev,Показалась мордочка.
In domain dev,Не трещат сороки.
In domain dev,С берёз полетели листочки.
In domain dev,На нём лежит тетрадь.
In domain dev,Звонко поют зяблики.
In domain dev,Дима учил уроки.
In domain dev,Журчит ручей.
In domain dev,Он идёт на охоту.
In domain dev,К Коле Чайкину пришли гости.
In domain dev,Зайчик надел белую шубку.
In domain dev,Наши ученики живут дружно.
In domain dev,Выпал пушистый снежок.
In domain dev,Дети любили Розку.
In domain dev,Боря и Андрюша собрали много рыжиков и маслят.
In domain dev,Дети часто ходят в рощу.
In domain dev,Андрей Кружин следил за игрой.
In domain dev,В нашем доме десять этажей.
In domain dev,В ранце у мальчика книги и тетради.
In domain dev,Весной в новом жилище поселились скворцы.
In domain dev,На листьях ольхи блестят прозрачные капельки.
In domain dev,Я и братишка Игорь остались дома.
In domain dev,В шалаше был наш штаб.
In domain dev,Всюду белым ковром лежал снег.
In domain dev,В лужицах голубеет небо.
In domain dev,Гулять нельзя.
In domain dev,Летят с юга птицы.
In domain dev,Только волки рыщут.
In domain dev,На опушке заскрипел старый вяз.
In domain dev,На снежном ковре кот Барсик оставил первый след.
In domain dev,Погасли звёзды.
In domain dev,Показались зелёные иголочки травы.
In domain dev,Крыши тоже в снегу.
In domain dev,У стены стоит диван.
In domain dev,Ежик скрылся в нору.
In domain dev,Начал таять снег.
In domain dev,У дома сугробы.
In domain dev,Над водой порхают пестрые бабочки.
In domain dev,Дети катались с горки.
In domain dev,Мальчики помчались домой.
In domain dev,Хлынула вода на поля.
In domain dev,На песке сидел дед Олег.
In domain dev,Солнышко начало греть землю.
In domain dev,Малыши Алёша и Юра вышли во двор.
In domain dev,Я читаю стихи о лисе.
In domain dev,Завывают вьюги.
In domain dev,Дюймовочка заметила норку.
In domain dev,Наступил ноябрь.
In domain dev,Туча закрыла солнце.
In domain dev,Чутко дремлют пушистые зайчата.
In domain dev,Зимой река спала под толстым ледовым покрывалом.
In domain dev,Во дворе гулял котёнок.
In domain dev,У Димы и Серёжи была бабушка.
In domain dev,Давно исчезли стрижи.
In domain dev,Под снегом журчит светлый ручей.
In domain dev,На речке мальчики ловили рыбу.
In domain dev,У белки в дупле хранится запас сухих грибов.
In domain dev,Пруд замёрз.
In domain dev,Сёма и Яша едут в новый дом.
In domain dev,Звенят быстрые ручейки.
In domain dev,Мы ходили гулять в рощу.
In domain dev,Свои картины дети повесили на стену.
In domain dev,В такую погоду нельзя гулять.
In domain dev,На крыльце лежал кот Пушок.
In domain dev,Подружки рисуют на асфальте цветными мелками.
In domain dev,Борис идёт в первый класс.
Out of domain dev,Печальную песню запела выпь.
Out of domain dev,Дядя Яша учит всех кататься на коньках.
Out of domain dev,В лесу тишина.
Out of domain dev,На бревне сидела ворона.
Out of domain dev,На картине луг и речка.
Out of domain dev,Закачались молодые дубки и липки.
Out of domain dev,Дети угощают животных морковкой и листочками капусты.
Out of domain dev,Мы рады щедрому урожаю.
Out of domain dev,Юра и Коля гуляют в парке.
Out of domain dev,Солнышко спустилось за дальний лес.
Out of domain dev,В цветках капли росы.
Out of domain dev,Даша нагнулась за луком.
Out of domain dev,Все рады снегу.
Out of domain dev,Мы учим русский язык.
Out of domain dev,Проснулось солнышко.
Out of domain dev,Над яркими цветниками летают изящные бабочки.
Out of domain dev,Но ежи разоряют птичьи гнёзда.
Out of domain dev,Надя сшила для куклы Маши наряд.
Out of domain dev,Оля рисовала солнечную весну.
Out of domain dev,Ольга катит ком снега.
Out of domain dev,Треснула ветка.
Out of domain dev,Летают стрижи.
Out of domain dev,Зайка открыл дверь.
Out of domain dev,Бабушка Нина сварила варенье.
Out of domain dev,Утром люди идут на работу.
Out of domain dev,Дедушка читает книгу.
Out of domain dev,Только около крыльца зеленела маленькая ёлочка.
Out of domain dev,У него сильный кашель.
Out of domain dev,Вася и Юра идут в школу.
Out of domain dev,Зеленеют леса и поля.
Out of domain dev,Хорошо было в роще.
Out of domain dev,Алёша и Миша пускают бумажные кораблики.
Out of domain dev,Скоро ёлка.
Out of domain dev,Светит люстра.
Out of domain dev,Вороны жили в нём.
Out of domain dev,Снежинки падали пушистые и белые.
Out of domain dev,Рой пчел сел на куст.
Out of domain dev,Алёша любит читать.
Out of domain dev,Вдруг из кустов вылетел рябчик.
Out of domain dev,По ней мы вышли к речке.
Out of domain dev,Стайка дроздов подлетела к дереву.
Out of domain dev,Она варит суп.
Out of domain dev,В лесу рос красивый куст.
Out of domain dev,Глеб поймал щуку.
Out of domain dev,Деду помогал внук Витя.
Out of domain dev,В четверг к Вите пришёл друг Олег.
Out of domain dev,Мальчик принёс ему хлеба и молока.
Out of domain dev,Маму все уважают.
Out of domain dev,Их звонкие песни разбудили лес.
Out of domain dev,На сучке висел сухой гриб.
Out of domain dev,В шишках семена.
Out of domain dev,Разные жилища есть в лесу.
Out of domain dev,Лена плетет венок из ромашек.
Out of domain dev,У крыльца большие лужи.
Out of domain dev,Звонко запели птицы.
Out of domain dev,Звенит капель.
Out of domain dev,У Ольги и Даши бумажные бусы.
Out of domain dev,Ребята часто ходят в лес.
Out of domain dev,Сразу его начинали соскребать с асфальта.
Out of domain dev,У дома большие лужи.
Out of domain dev,Весело журчат ручейки.
Out of domain dev,У Серёжи кот Дымок.
Out of domain dev,Ребята бегут к речке.
Out of domain dev,Застучали по земле крупные капли.
Out of domain dev,Мальчики пускают кораблики.
Out of domain dev,Упала сосулька.
Out of domain dev,Мы живём в Москве.
Out of domain dev,В детском саду жили волнистые попугайчики.
Out of domain dev,На лугу играют дети.
Out of domain dev,Ровным рядком рос лук.
Out of domain dev,Дети играют дружно.
Out of domain dev,Начался ледоход.
Out of domain dev,Узкая тропинка бежала через луг.
Out of domain dev,В густых лапах ели скрылась белка.
Out of domain dev,На дворе весело и шумно.
Out of domain dev,Весной у утки вылупились утята.
Out of domain dev,Умчалась дождевая туча.
Out of domain dev,Ежик ищет пищу в густой траве.
Out of domain dev,Ребята по тропке идут к реке.
Out of domain dev,Воробей взял её в клюв и полетел на чердак.
Out of domain dev,Ольга была учителем.
Out of domain dev,На дворе весна.
Out of domain dev,Мальчики играли в снежки.
Out of domain dev,Запели птицы на ветвях.
Out of domain dev,Пчеле и шмелю хорошо на лугу.
Out of domain dev,В чащу летит орел.
Out of domain dev,На полях и в лесах тишина.
Out of domain dev,Мальчики любят играть.
Out of domain dev,Крыши домов в снегу.
Out of domain dev,Небо в тучах.
Out of domain dev,Целый день идёт дождь.
Out of domain dev,Под берёзой вырос гриб.
Out of domain dev,Жёлтый лист упал с осины.
Out of domain dev,Скоро наступит осень.
Out of domain dev,Сильные морозы сковали озёра и реки.
Out of domain dev,Природа уснула до весны.
Out of domain dev,Зимой птицам трудно добывать еду.
Out of domain dev,На деревьях крича грачи.
Out of domain dev,По улице бежит широкий ручей.
Out of domain dev,В конце села есть ферма.
